date,campaign_name,campaign_type,spend,impressions,clicks,conversions,conversion_value,new_customer_conversions,new_customer_value,search_impression_share
2026-07-13,Brand Search | Adapt Naturals + Kresser,Brand Search,509.74,14003,747,60,4656.26,33,3036.0,0.967
2026-07-13,Non-Brand Search | Supplements + Conditions,Non-Brand Search,224.31,3812,139,2,179.23,2,184.0,0.388
2026-07-13,Shopping | Standard | All Products,Shopping,180.06,1834,143,2,198.47,2,184.0,
2026-07-14,Brand Search | Adapt Naturals + Kresser,Brand Search,586.12,27609,959,91,7337.27,50,4600.0,0.967
2026-07-14,Non-Brand Search | Supplements + Conditions,Non-Brand Search,233.45,4149,198,2,187.44,2,184.0,0.398
2026-07-14,Shopping | Standard | All Products,Shopping,220.85,2030,145,3,277.27,2,184.0,
2026-07-15,Brand Search | Adapt Naturals + Kresser,Brand Search,554.58,9415,535,59,4684.34,32,2944.0,0.968
2026-07-15,Non-Brand Search | Supplements + Conditions,Non-Brand Search,242.39,2281,163,2,171.42,2,184.0,0.359
2026-07-15,Shopping | Standard | All Products,Shopping,210.41,2059,115,2,177.39,2,184.0,
2026-07-16,Brand Search | Adapt Naturals + Kresser,Brand Search,458.85,9060,520,57,4777.93,31,2852.0,0.968
2026-07-16,Non-Brand Search | Supplements + Conditions,Non-Brand Search,238.77,1995,125,1,88.35,1,92.0,0.364
2026-07-16,Shopping | Standard | All Products,Shopping,169.88,2129,89,1,96.49,1,92.0,
2026-07-17,Brand Search | Adapt Naturals + Kresser,Brand Search,473.13,5744,449,54,4420.09,30,2760.0,0.969
2026-07-17,Non-Brand Search | Supplements + Conditions,Non-Brand Search,224.24,4828,243,2,182.03,2,184.0,0.381
2026-07-17,Shopping | Standard | All Products,Shopping,161.92,1557,101,2,186.44,2,184.0,
2026-07-18,Brand Search | Adapt Naturals + Kresser,Brand Search,568.15,16513,917,50,3828.3,28,2576.0,0.969
2026-07-18,Non-Brand Search | Supplements + Conditions,Non-Brand Search,247.43,2993,183,2,179.15,2,184.0,0.383
2026-07-18,Shopping | Standard | All Products,Shopping,203.12,1540,87,2,190.41,2,184.0,
2026-07-19,Brand Search | Adapt Naturals + Kresser,Brand Search,506.49,9992,786,61,4448.35,34,3128.0,0.97
2026-07-19,Non-Brand Search | Supplements + Conditions,Non-Brand Search,256.54,1550,106,2,177.43,2,184.0,0.365
2026-07-19,Shopping | Standard | All Products,Shopping,202.82,5158,221,2,195.74,2,184.0,
